video_id,video_name,channel_name,comment_id,comment,username,class
s6rHwlXqZYQ,Cristale x Teezandos - Plugged In w/ Fumez The Engineer | @MixtapeMadness,Mixtape Madness,UgxGERYGUdG0xaZ8hV14AaABAg,they both went crazy. wasn't expecting cristale to go stupid like that,trilljordz,ham
s6rHwlXqZYQ,Cristale x Teezandos - Plugged In w/ Fumez The Engineer | @MixtapeMadness,Mixtape Madness,UgxGERYGUdG0xaZ8hV14AaABAg.9oSilQ_Q9lb9oeaEeRkRkR,[MAIN] they both went crazy. wasn't expecting cristale to go stupid like that [REPLY] @Maxwell Clips I’m,Shayo Santos,neutral
s6rHwlXqZYQ,Cristale x Teezandos - Plugged In w/ Fumez The Engineer | @MixtapeMadness,Mixtape Madness,UgxGERYGUdG0xaZ8hV14AaABAg.9oSilQ_Q9lb9obw_XZiRtQ,[MAIN] they both went crazy. wasn't expecting cristale to go stupid like that [REPLY] 0:19 😢 😢😢😢😢😢 1:07,Chloe Rose,neutral
s6rHwlXqZYQ,Cristale x Teezandos - Plugged In w/ Fumez The Engineer | @MixtapeMadness,Mixtape Madness,UgxGERYGUdG0xaZ8hV14AaABAg.9oSilQ_Q9lb9o_teTPUg2d,[MAIN] they both went crazy. wasn't expecting cristale to go stupid like that [REPLY] 🔥,Chase Chest,neutral
s6rHwlXqZYQ,Cristale x Teezandos - Plugged In w/ Fumez The Engineer | @MixtapeMadness,Mixtape Madness,UgxGERYGUdG0xaZ8hV14AaABAg.9oSilQ_Q9lb9oZkDyd3ZWH,[MAIN] they both went crazy. wasn't expecting cristale to go stupid like that [REPLY] Lad she's been spitting flames for a while now,Joell420,ham
s6rHwlXqZYQ,Cristale x Teezandos - Plugged In w/ Fumez The Engineer | @MixtapeMadness,Mixtape Madness,UgxGERYGUdG0xaZ8hV14AaABAg.9oSilQ_Q9lb9oYIbb-1UMg,[MAIN] they both went crazy. wasn't expecting cristale to go stupid like that [REPLY] Trusttttttttttt g,C2SAV,ham
s6rHwlXqZYQ,Cristale x Teezandos - Plugged In w/ Fumez The Engineer | @MixtapeMadness,Mixtape Madness,UgxGERYGUdG0xaZ8hV14AaABAg.9oSilQ_Q9lb9oXNZSl6oJ3,[MAIN] they both went crazy. wasn't expecting cristale to go stupid like that [REPLY] @Maxwell Clips 0:42 0:42,Chloe Rose,neutral
s6rHwlXqZYQ,Cristale x Teezandos - Plugged In w/ Fumez The Engineer | @MixtapeMadness,Mixtape Madness,UgxGERYGUdG0xaZ8hV14AaABAg.9oSilQ_Q9lb9oX3LnUTWR6,[MAIN] they both went crazy. wasn't expecting cristale to go stupid like that [REPLY] Is that supposed be a compliment,Jayden Eaton,ham
s6rHwlXqZYQ,Cristale x Teezandos - Plugged In w/ Fumez The Engineer | @MixtapeMadness,Mixtape Madness,UgxGERYGUdG0xaZ8hV14AaABAg.9oSilQ_Q9lb9oUum1llDsT,[MAIN] they both went crazy. wasn't expecting cristale to go stupid like that [REPLY] Bro she went insaneeeeeeerr,K3D0,ham
s6rHwlXqZYQ,Cristale x Teezandos - Plugged In w/ Fumez The Engineer | @MixtapeMadness,Mixtape Madness,UgwFOOIKudpCq55hIPd4AaABAg,"Teezantos energy madly mad!! Meanwhile, this is one of the craziest combo I have seen, Bruvv.. They went hard!!!",Kenny Bamidele,ham
s6rHwlXqZYQ,Cristale x Teezandos - Plugged In w/ Fumez The Engineer | @MixtapeMadness,Mixtape Madness,UgwFOOIKudpCq55hIPd4AaABAg.9oSmDYRGXM19ojd-zA7q8Y,"[MAIN] Teezantos energy madly mad!! Meanwhile, this is one of the craziest combo I have seen, Bruvv.. They went hard!!! [REPLY] Talking like ksi",ES,ham
s6rHwlXqZYQ,Cristale x Teezandos - Plugged In w/ Fumez The Engineer | @MixtapeMadness,Mixtape Madness,UgwFOOIKudpCq55hIPd4AaABAg.9oSmDYRGXM19ojRyJi_80Z,"[MAIN] Teezantos energy madly mad!! Meanwhile, this is one of the craziest combo I have seen, Bruvv.. They went hard!!! [REPLY] @The Warrior Returns err",1104gcxx,neutral
s6rHwlXqZYQ,Cristale x Teezandos - Plugged In w/ Fumez The Engineer | @MixtapeMadness,Mixtape Madness,UgwFOOIKudpCq55hIPd4AaABAg.9oSmDYRGXM19oiuGUMpoI6,"[MAIN] Teezantos energy madly mad!! Meanwhile, this is one of the craziest combo I have seen, Bruvv.. They went hard!!! [REPLY] @The Warrior Returns 🤏",pem,neutral
s6rHwlXqZYQ,Cristale x Teezandos - Plugged In w/ Fumez The Engineer | @MixtapeMadness,Mixtape Madness,UgwFOOIKudpCq55hIPd4AaABAg.9oSmDYRGXM19ofJlNE9Drd,"[MAIN] Teezantos energy madly mad!! Meanwhile, this is one of the craziest combo I have seen, Bruvv.. They went hard!!! [REPLY] @The Warrior Returns LMFAOOOO0",rxzkol,neutral
s6rHwlXqZYQ,Cristale x Teezandos - Plugged In w/ Fumez The Engineer | @MixtapeMadness,Mixtape Madness,UgwFOOIKudpCq55hIPd4AaABAg.9oSmDYRGXM19o_WICTPOnz,"[MAIN] Teezantos energy madly mad!! Meanwhile, this is one of the craziest combo I have seen, Bruvv.. They went hard!!! [REPLY] @The Warrior Returns bruh 💀",bran_rx,neutral
